mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
600,0p8,1,20,0.1016557279251183,0.0542968735098838,0.0780517533421516,0.1085937470197677,0.1769855171442031,0.2476159930229187
700,0p8,1,20,0.1587893761752314,0.0570297241210937,0.0789754763245582,0.1167968735098838,0.1754571050405502,0.2491642832756042
800,0p8,1,20,0.0362664742208076,0.03021240234375,0.0442234016954898,0.0515624992549419,0.1037672013044357,0.1497514098882675
900,0p8,1,20,0.1103533390437499,0.0498901344835758,0.0695829391479492,0.1046874970197677,0.1610214859247207,0.2341497242450714
1000,0p8,1,20,0.1247482789911083,0.05865478515625,0.0806059837341308,0.12109375,0.1872215718030929,0.2756038010120392
1500,0p8,1,20,0.2423336323658883,0.1958984434604644,0.2782318294048309,0.4250000119209289,0.6791102290153503,1.0671842098236084
2000,0p8,1,20,0.7041433750124441,0.62255859375,0.862126886844635,1.274999976158142,1.971261978149414,3.028400182723999
2500,0p8,1,20,2.134188264386711,1.548828125,2.1468963623046875,3.25,5.193195819854736,8.234094619750977
3000,0p8,1,20,4.536801941233229,3.2450196743011475,5.015247344970703,8.225000381469727,13.273921966552734,20.334522247314453
3500,0p8,1,20,87.39635410228192,14.24375057220459,21.329933166503903,34.400001525878906,54.96798324584961,84.05239868164062
4000,0p8,1,20,198.8176965575696,27.590625762939453,40.96274566650391,64.80000305175781,103.54434204101562,162.71421813964844
500,0p9,1,20,0.0634541338314655,0.0450317412614822,0.0546547919511795,0.0847656279802322,0.1222702413797378,0.1704325824975967
600,0p9,1,20,0.1392531678749949,0.0517578125,0.0707626342773437,0.103515625,0.155918076634407,0.2210746109485626
700,0p9,1,20,0.1125250478672734,0.046142578125,0.0653446242213249,0.0984375029802322,0.1466997563838958,0.2081112116575241
800,0p9,1,20,0.071037854690614,0.0505554191768169,0.0687357410788536,0.0980468764901161,0.1445543467998504,0.2087509483098983
900,0p9,1,20,0.0840178074726331,0.0675628632307052,0.0917385071516037,0.1320312470197677,0.1962376832962036,0.2804222702980041
1000,0p9,1,20,0.2929844264468398,0.0767394974827766,0.1032095402479171,0.1488281190395355,0.2217960506677627,0.3200529515743255
1500,0p9,1,20,0.2258836767299301,0.1662170439958572,0.2385232895612716,0.3765625059604645,0.6137195825576782,0.9582681655883788
2000,0p9,1,20,0.6566372859697145,0.5665283203125,0.8306763768196106,1.381250023841858,2.460371494293213,4.186587333679199
2500,0p9,1,20,7.312930528324019,2.026171922683716,2.89373779296875,4.550000190734863,7.524385452270508,11.86354160308838
3000,0p9,1,20,8.160547482788608,4.92626953125,6.951702117919922,10.6875,17.503633499145508,27.9301872253418
3500,0p9,1,20,12.513741674356446,15.08828067779541,20.86046028137207,31.149999618530277,47.16731643676758,68.15851593017578
4000,0p9,1,20,271.4575792383389,33.37187576293945,47.09270095825195,72.4000015258789,115.6884307861328,188.3273162841797
500,1,1,20,0.0610636172106445,0.0267791748046875,0.0365123748779296,0.052734375,0.0750157311558723,0.1020184084773063
600,1,1,20,0.107828435931592,0.0472854599356651,0.0640259161591529,0.0910156220197677,0.1301971822977066,0.1765722185373306
700,1,1,20,0.2699913028146003,0.0730468779802322,0.0977203398942947,0.1375000029802322,0.199433147907257,0.2788770496845245
800,1,1,20,0.2007421222546688,0.0777587890625,0.1029262542724609,0.1421875059604644,0.1982972919940948,0.2687024176120758
900,1,1,20,0.4481634644208886,0.1036865189671516,0.1381639391183853,0.1937499940395355,0.276385635137558,0.3790165185928345
1000,1,1,20,0.4668441762739506,0.11834716796875,0.156651496887207,0.2164062559604644,0.3035293221473694,0.4129352271556854
1500,1,1,20,0.7099209123580511,0.4140625,0.56610107421875,0.828125,1.2341408729553225,1.7858880758285522
2000,1,1,20,1.6298050046986536,1.147363305091858,1.586299180984497,2.368750095367432,3.6811797618865967,5.5796732902526855
2500,1,1,20,12.449733148069878,2.4521484375,3.4106369018554688,5.0625,7.70599365234375,11.460061073303224
3000,1,1,20,32.79468836526411,10.39023494720459,13.86374282836914,19.850000381469727,29.74036979675293,42.299591064453125
3500,1,1,20,236.73144991401384,23.311914443969727,32.7471809387207,50.150001525878906,78.93560791015625,117.4413604736328
