mMed,mDark,rinv,yukawa,cross_section
2500,20,0.6,1.0,0.0717800036072731
2500,20,0.7,1.0,0.0717800036072731
2500,20,0.8,1.0,0.0717800036072731
2500,20,0.9,1.0,0.0717800036072731
2500,20,1.0,1.0,0.0717800036072731
2500,30,0.3,1.0,0.0717800036072731
2500,40,0.3,1.0,0.0717800036072731
2500,50,0.3,1.0,0.0717800036072731
2500,60,0.3,1.0,0.0717800036072731
3000,1,0.3,1.0,0.03602999821305275
3000,5,0.3,1.0,0.03602999821305275
3000,10,0.3,1.0,0.03602999821305275
3000,20,0.0,1.0,0.03602999821305275
3000,20,0.05,1.0,0.03602999821305275
3000,20,0.1,1.0,0.03602999821305275
3000,20,0.2,1.0,0.03602999821305275
3000,20,0.3,0.1,8.502000127919018e-06
3000,20,0.3,0.5,0.002320999978110194
3000,20,0.3,1.0,0.03602999821305275
3000,20,0.3,1.5,0.18070000410079956
3000,20,0.3,2.0,0.5720999836921692
3000,20,0.3,2.5,1.3739999532699585
3000,20,0.3,3.0,2.808000087738037
3000,20,0.3,3.5,5.0970001220703125
3000,20,0.4,1.0,0.03602999821305275
3000,20,0.5,1.0,0.03602999821305275
3000,20,0.6,1.0,0.03602999821305275
3000,20,0.7,1.0,0.03602999821305275
3000,20,0.8,1.0,0.03602999821305275
3000,20,0.9,1.0,0.03602999821305275
3000,20,1.0,1.0,0.03602999821305275
3000,30,0.3,1.0,0.03602999821305275
3000,40,0.3,1.0,0.03602999821305275
3000,50,0.3,1.0,0.03602999821305275
3000,60,0.3,1.0,0.03602999821305275
3000,70,0.3,1.0,0.03602999821305275
3000,80,0.3,1.0,0.03602999821305275
3500,1,0.3,1.0,0.019990000873804092
3500,5,0.3,1.0,0.019990000873804092
3500,10,0.3,1.0,0.019990000873804092
3500,20,0.0,1.0,0.019990000873804092
3500,20,0.05,1.0,0.019990000873804092
3500,20,0.1,1.0,0.019990000873804092
3500,20,0.2,1.0,0.019990000873804092
3500,20,0.3,0.1,3.091000053245807e-06
3500,20,0.3,0.5,0.0012639999622479081
3500,20,0.3,1.0,0.019990000873804092
3500,20,0.3,1.5,0.1006999984383583
3500,20,0.3,2.0,0.3199000060558319
3500,20,0.3,2.5,0.7663999795913696
3500,20,0.3,3.0,1.5640000104904175
3500,20,0.3,3.5,2.8310000896453857
3500,20,0.4,1.0,0.019990000873804092
3500,20,0.5,1.0,0.019990000873804092
3500,20,0.6,1.0,0.019990000873804092
3500,20,0.7,1.0,0.019990000873804092
3500,20,0.8,1.0,0.019990000873804092
3500,20,0.9,1.0,0.019990000873804092
3500,20,1.0,1.0,0.019990000873804092
3500,30,0.3,1.0,0.019990000873804092
3500,40,0.3,1.0,0.019990000873804092
3500,50,0.3,1.0,0.019990000873804092
3500,60,0.3,1.0,0.019990000873804092
3500,70,0.3,1.0,0.019990000873804092
3500,80,0.3,1.0,0.019990000873804092
3500,90,0.3,1.0,0.019990000873804092
4000,1,0.3,1.0,0.011850000359117985
4000,5,0.3,1.0,0.011850000359117985
4000,10,0.3,1.0,0.011850000359117985
4000,20,0.0,1.0,0.011850000359117985
4000,20,0.05,1.0,0.011850000359117985
4000,20,0.1,1.0,0.011850000359117985
4000,20,0.2,1.0,0.011850000359117985
4000,20,0.3,0.1,1.466999947297154e-06
4000,20,0.3,0.5,0.0007517000194638968
4000,20,0.3,1.0,0.011850000359117985
4000,20,0.3,1.5,0.06024999916553497
4000,20,0.3,2.0,0.19089999794960022
4000,20,0.3,2.5,0.459199994802475
4000,20,0.3,3.0,0.9351000189781189
4000,20,0.3,3.5,1.687999963760376
4000,20,0.4,1.0,0.011850000359117985
4000,20,0.5,1.0,0.011850000359117985
4000,20,0.6,1.0,0.011850000359117985
4000,20,0.7,1.0,0.011850000359117985
4000,20,0.8,1.0,0.011850000359117985
4000,20,0.9,1.0,0.011850000359117985
4000,20,1.0,1.0,0.011850000359117985
4000,30,0.3,1.0,0.011850000359117985
4000,40,0.3,1.0,0.011850000359117985
4000,50,0.3,1.0,0.011850000359117985
4000,60,0.3,1.0,0.011850000359117985
4000,70,0.3,1.0,0.011850000359117985
4000,80,0.3,1.0,0.011850000359117985
4000,90,0.3,1.0,0.011850000359117985
4000,100,0.3,1.0,0.011850000359117985
