mMed,mDark,rinv,yukawa,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
2000.0,20,0.9,1,0.9771,0.7618,1.1169,1.8312,3.2473,5.4416
2500.0,20,0.9,1,10.4320,1.9729,2.8700,4.6125,7.7381,12.1101
3000.0,20,0.9,1,16.0718,5.0541,6.9393,10.4766,16.7406,25.1258
3500.0,20,0.9,1,66.3040,15.4225,21.3403,30.7250,46.2788,68.5652
4000.0,20,0.9,1,77.9961,24.1955,36.4240,61.0250,103.3502,152.8094
500.0,20,1,1,0.1187,0.0443,0.0582,0.0793,0.1100,0.1474
600.0,20,1,1,0.1809,0.0720,0.0995,0.1418,0.2000,0.2695
700.0,20,1,1,0.1827,0.1008,0.1365,0.1992,0.2937,0.4168
800.0,20,1,1,0.2005,0.0928,0.1216,0.1680,0.2343,0.3196
900.0,20,1,1,0.1603,0.0994,0.1315,0.1898,0.2754,0.4110
1000.0,20,1,1,0.3396,0.1304,0.1762,0.2539,0.3723,0.5269
1500.0,20,1,1,0.8573,0.4996,0.6865,1.0031,1.4550,2.0844
2000.0,20,1,1,3.7224,1.1709,1.6145,2.4469,3.9489,6.2403
2500.0,20,1,1,3.4160,2.3781,3.2434,4.8125,7.5940,11.3891
3000.0,20,1,1,11.0611,6.3616,8.7647,12.9766,19.5457,29.1138
3500.0,20,1,1,41.7509,19.9030,28.1968,40.9250,58.3798,81.3484
4000.0,20,1,1,107.4859,33.1493,45.8690,68.1625,103.2116,154.8354
1500.0,30,0.3,1,0.1617,0.1138,0.1663,0.2648,0.4485,0.7357
2000.0,30,0.3,1,0.4593,0.3055,0.4307,0.6656,1.1061,1.8448
2500.0,30,0.3,1,1.7311,0.9372,1.3922,2.3406,4.1506,6.7235
3000.0,30,0.3,1,2.9460,2.0183,2.9812,4.8516,8.2165,13.5784
3500.0,30,0.3,1,6.9046,3.4383,5.5904,10.3250,19.9555,31.3074
4000.0,30,0.3,1,15.7026,7.4084,11.7880,21.2500,41.0706,64.4342
1500.0,40,0.3,1,0.2094,0.1436,0.2015,0.3102,0.5005,0.7875
2000.0,40,0.3,1,0.7583,0.4862,0.6900,1.0594,1.7772,2.8039
2500.0,40,0.3,1,1.6926,1.0535,1.5959,2.6312,4.5821,7.4403
3000.0,40,0.3,1,8.9892,3.4816,5.2827,8.7812,14.8717,22.9129
